source,auteur,date,phrase,aspect,sentiment,flag,gravite,prob_negative,prob_positive,prob_neutral
page_BNI,Klebien Frédéric,2025-08-06,une agence bni a tafire katiola etait le meilleur endroit je crois,agence,positif,Très positif,Aucune,0.0167,0.9679,0.0155
page_BNI,Mohamed Chabi,2025-08-06,mon application bnionline ne passe pas depuis quelques jours,application,neutre,Légèrement négatif,Modéré,0.3566,0.015,0.6284
page_BNI,Odilon Yao,2025-08-06,j ai besoin de parler a un conseiller client svp c est urgent,service client,positif,Très positif,Aucune,0.0226,0.9561,0.0213
page_BNI,Odilon Yao,2025-08-06,j ai besoin de parler a un conseiller client svp c est urgent,gestionnaire,positif,Très positif,Aucune,0.0226,0.9561,0.0213
page_BNI,Yeo Chiler,2025-08-05,bni nous avons constate depuis un moment les virement se passent par vague il faudra attendre combien de jours pour que la seconde vague puisse passer la premiere est passee cela fait 3jours,virement,neutre,Neutre,Aucune,0.1706,0.0133,0.8161
page_BNI,Germain Kone,2025-08-05,une qui ne repond pas au modernisme dans une meme fonction les virements sont morceaux par morceaux,virement,neutre,Neutre,Aucune,0.0109,0.0137,0.9755
page_BNI,Anderson Magloire,2025-08-03,svp rattachez mon compte a mon application,application,positif,Très positif,Aucune,0.0193,0.9643,0.0164
page_BNI,Boris Le Septiéme Nivo,2025-08-02,vous bni cote d ivoire pourquoi oblige vous les gens a souscrit a l offre sunu assurance qui est une tombolas lorsqu on viens pour des pret bien vrai qu il y a deja une assurance loyal vie lie aux pret,assurance,negatif,Très positif,Aucune,0.0251,0.8347,0.1403
page_BNI,Boris Le Septiéme Nivo,2025-08-02,vous bni cote d ivoire pourquoi oblige vous les gens a souscrit a l offre sunu assurance qui est une tombolas lorsqu on viens pour des pret bien vrai qu il y a deja une assurance loyal vie lie aux pret,prêt,negatif,Très positif,Aucune,0.0251,0.8347,0.1403
page_BNI,Mouhamedou Togo,2025-08-01,a quand les prets bancaires seront disponibles j ai fournis les documents depuis le 19 juillet,prêt,positif,Très positif,Aucune,0.0143,0.9693,0.0164
page_BNI,Yannick Kouadio,2025-08-01,est ce que on peut faire des retrait avec la carte cmu svp,carte,positif,Très positif,Aucune,0.0163,0.8036,0.1801
page_BNI,Yannick Kouadio,2025-08-01,est ce que on peut faire des retrait avec la carte cmu svp,retrait,positif,Très positif,Aucune,0.0163,0.8036,0.1801
page_BNI,Tafari Garvey,2025-08-02,d abord merci pour tout la bni mais de grace soyez suiveur sur la procedure de joindre son compte courant a wave j ai rempli 2fois la fiche a l agence de koumassi et celle de bonoua,agence,positif,Légèrement négatif,Modéré,0.4462,0.5325,0.0213
page_BNI,Tafari Garvey,2025-08-02,a 3 mois d intervalle depuis qu ils ont envoye le mail a la banque source l agence de gagnoa jusque la rien est fait le gestionnaire a un probleme de mail d apres lui ceux qui ont envoye le mail ne le retrouve pas d apres elle a croire que tout est pas digitalise franchement,agence,negatif,Légèrement négatif,Modéré,0.4462,0.5325,0.0213
page_BNI,Tafari Garvey,2025-08-02,a 3 mois d intervalle depuis qu ils ont envoye le mail a la banque source l agence de gagnoa jusque la rien est fait le gestionnaire a un probleme de mail d apres lui ceux qui ont envoye le mail ne le retrouve pas d apres elle a croire que tout est pas digitalise franchement,gestionnaire,negatif,Légèrement négatif,Modéré,0.4462,0.5325,0.0213
page_BNI,Mousharaf Tronga Sy Savané,2025-08-01,contrairement a ce que vous pronez vous etes des dictateurs envers vos clients que nous sommes trop anomalies dans ces dernieres annees dans vos services et de ces precomptes bizarre,service client,negatif,Très négatif,Très critique,0.9763,0.0125,0.0112
page_BNI,Tiapo Anderson,2025-08-01,bni cote d ivoire que faire lorsque ton nouveau gestionnaire ne decroche pas tes appels encore moins reponds tes messages,gestionnaire,negatif,Très négatif,Très critique,0.974,0.01,0.016
page_BNI,Patsako le Code,2025-07-31,est maintenant toi tu nous donnes conseil quoi nous on a bouge hein,gestionnaire,neutre,Légèrement négatif,Modéré,0.41,0.0131,0.5768
page_BNI,Jean Charles Nindjin,2025-07-31,hum on dirait que les conseils sont en retard hein bon on essayera de voir,gestionnaire,negatif,Très négatif,Très critique,0.9477,0.0158,0.0365
page_BNI,Bienvenue Beugre,2025-07-31,eux meme les salaires qui sont generes dans leur guichet permettent de respecter ca,guichet,positif,Très positif,Aucune,0.0229,0.9636,0.0135
page_BNI,Bienvenue Beugre,2025-07-31,eux meme les salaires qui sont generes dans leur guichet permettent de respecter ca,virement,positif,Très positif,Aucune,0.0229,0.9636,0.0135
page_BNI,Alain Yapoga,2025-07-31,depuis deux mois j ai depose un courrier pour le transfert de mon compte bancaire jusqu,virement,neutre,Très négatif,Très critique,0.9652,0.0143,0.0205
page_BNI,Alain Yapoga,2025-07-31,a present ma gestionnaire n a tjs pas approuve ma demande que faire bni cote d ivoire,gestionnaire,negatif,Très négatif,Très critique,0.9652,0.0143,0.0205
page_BNI,Yann Muriel,2025-08-01,bonjour bni cote d ivoire puis je avoir les pieces pour l ouverture d un compte epargne dans vos locaux et aussi le taux de rendement,agence,positif,Très positif,Aucune,0.009,0.817,0.1741
page_BNI,Koffi Raymond Yao,2025-08-07,svp le reversement pec apres la fin du remboursement du pret prends combien de temps,prêt,neutre,Négatif,Critique,0.6563,0.0276,0.3161
page_BNI,Nabaga Coulibaly,2025-07-31,merci bcp pour ces conseils avises,gestionnaire,positif,Très positif,Aucune,0.013,0.9683,0.0187
page_BNI,Akissi Brigitte Kouadio,2025-07-31,on arrive pas a consulter son solde sur l application,application,negatif,Négatif,Critique,0.7716,0.0172,0.2111
page_BNI,Bezeme N'zarassé,2025-07-31,avant de faire une transaction surtout dans les guichets automatiques il serait souhaitable de faire une consultation,guichet,positif,Très positif,Aucune,0.014,0.831,0.155
page_BNI,Bezeme N'zarassé,2025-07-31,avant de faire une transaction surtout dans les guichets automatiques il serait souhaitable de faire une consultation,virement,positif,Très positif,Aucune,0.014,0.831,0.155
page_BNI,Yves Andréa Djè,2025-07-31,pourquoi vos gestionnaire refusent de decrocher le telephone quand on appelle,gestionnaire,negatif,Très négatif,Très critique,0.976,0.0106,0.0134
page_BNI,Ydam Achille,2025-07-31,je consulte mon solde avant quoique ce soit j ai l appli donc tranquille quoi mais une annee bni m a preleve 16mil et quand je me suis plains ils ont dit que s etait pour les decouvert j ai dis que je ne voulais ils ont promis me rembourser mais jamais voila maintenant 3 ou 4ans rien c est reste comme ca,application,negatif,Très négatif,Très critique,0.9694,0.0105,0.0201
page_BNI,Tiapo Anderson,2025-07-31,bni cote d ivoire arretez de forcer vos clients,service client,negatif,Très négatif,Très critique,0.9756,0.0136,0.0108
page_BNI,Aney Nouvelle,2025-07-31,on demande l avis a ses clients avant de souscrire a une assurance on ne le fait pas dans son dos compte secu jai jamais eu trace de la souche et pourtant on m coupe sa fait des annees s il n y a pas de trace comment les ayant droit vont savoir,assurance,negatif,Très négatif,Très critique,0.9741,0.0111,0.0148
page_BNI,Aney Nouvelle,2025-07-31,on demande l avis a ses clients avant de souscrire a une assurance on ne le fait pas dans son dos compte secu jai jamais eu trace de la souche et pourtant on m coupe sa fait des annees s il n y a pas de trace comment les ayant droit vont savoir,service client,negatif,Très négatif,Très critique,0.9741,0.0111,0.0148
page_BNI,Sabine Anoumou Épse Gbalé,2025-07-31,vraiment c est incroyable je m explique je me rends au guichet de la bni de dabou le 18 juillet 2025 pour effectuer un retrait d urgence mais le guichet ne fonctionne pas et pourtant le montant est quand meme preleve c est un fonds non percus j ai depose une reclamation avec beaucoup de difficulte et a ce jour toujours aucune reponse franchement je suis decu,guichet,negatif,Très négatif,Très critique,0.9762,0.0119,0.0119
page_BNI,Sabine Anoumou Épse Gbalé,2025-07-31,vraiment c est incroyable je m explique je me rends au guichet de la bni de dabou le 18 juillet 2025 pour effectuer un retrait d urgence mais le guichet ne fonctionne pas et pourtant le montant est quand meme preleve c est un fonds non percus j ai depose une reclamation avec beaucoup de difficulte et a ce jour toujours aucune reponse franchement je suis decu,retrait,negatif,Très négatif,Très critique,0.9762,0.0119,0.0119
page_BNI,Roger Eliab Kolly N'zo,2025-07-31,j ai appele le crc mais rien n est fait jusqu ici,service client,negatif,Légèrement négatif,Modéré,0.378,0.0463,0.5757
page_BNI,Roger Eliab Kolly N'zo,2025-07-31,la bni je suis decu de votre crc nul de nul,service client,negatif,Très négatif,Très critique,1.0,0.0,0.0
page_BNI,La Voix des Sans Voix,2025-07-31,je dis ooo avec vous chaque fin du mois l application bnionline doit avoir un probleme quoi pour consulter simplement le solde de son compte meme c estprobleme revoyez ca heinn trop c est trop,application,negatif,Très négatif,Très critique,1.0,0.0,0.0
page_BNI,Sedeuh Le Raelien Gbah,2025-07-24,je voudrais savoir pourquoi vous m avez preleve 33000f pour les frais de decouvert que je n ai meme pas demande votre site internet ne fonctionne pas non plus pour faire passer ma reclamation,frais,negatif,Très négatif,Très critique,0.9759,0.0112,0.0129
page_BNI,Kevin Kei,2025-07-31,bonjour depuis jeudi votre application be free ne fonctionne plus,application,negatif,Très négatif,Très critique,0.8696,0.0173,0.1131
page_BNI,Kevin Kei,2025-07-31,on ne peut pas faire de transaction sur be free depuis jeudi,virement,negatif,Très négatif,Très critique,0.9698,0.0131,0.0171
page_BNI,Emmanuel Kouassi,2025-07-31,on arrive meme pas a joindre vos conseils client bni cote d ivoire,service client,negatif,Très négatif,Très critique,0.972,0.0099,0.0181
page_BNI,Emmanuel Kouassi,2025-07-31,on arrive meme pas a joindre vos conseils client bni cote d ivoire,gestionnaire,negatif,Très négatif,Très critique,0.972,0.0099,0.0181
page_BNI,Emmanuel Kouassi,2025-07-31,on essaye de joindre le service client rien ne passe,service client,negatif,Très négatif,Très critique,0.9061,0.0152,0.0787
page_BNI,Mecape Zrou,2025-07-31,repondez aux clients svp,service client,positif,Très positif,Aucune,0.0181,0.938,0.0438
page_BNI,Mecape Zrou,2025-07-31,vous donnez des numeros service client dans les agences mais vous ne repondez jamais lorsque le client vous appelle la dessus,service client,negatif,Très positif,Aucune,0.0181,0.938,0.0438
page_BNI,Mecape Zrou,2025-07-31,vous donnez des numeros service client dans les agences mais vous ne repondez jamais lorsque le client vous appelle la dessus,agence,negatif,Très positif,Aucune,0.0181,0.938,0.0438
page_BNI,Sera Guehia,2025-07-24,bnicote d ivoire la seul banque qui ne repond pas a ses clients,service client,negatif,Très négatif,Très critique,0.971,0.009,0.02
page_BNI,Mathias Agbogba,2025-07-24,je voudrais savoir pour associer mon compte wave a mon compte bancaire doit je obligatoirement me rendre dans l agence ou j ai ouvert mon compte ou je peut le faire partout,agence,neutre,Négatif,Critique,0.7242,0.0395,0.2364
page_BNI,Boni Assi,2025-07-31,vous avez quels problemes concernant les virements du mois bni n est plus bni hein,virement,negatif,Très négatif,Très critique,0.9735,0.0098,0.0167
page_BNI,Brahima Traore,2025-07-31,bni pourquoi chaque fin de mois vous avez probleme reseau dans vos guichets automatiques,guichet,negatif,Très négatif,Très critique,0.9754,0.01,0.0145
page_BNI,Victoire Zamblé Lou,2025-07-31,et les virements,virement,neutre,Neutre,Aucune,0.013,0.0174,0.9697
page_BNI,Kouakou Yao,2025-07-24,retraite,retrait,neutre,Positif,Aucune,0.0094,0.786,0.2046
page_BNI,Kouassi Alberic Adja,2025-07-24,la bni est la meilleure banque de cote d ivoire plus de 60 qu ils sont la chaque client a son experience clientele moi personnellement mon experience client est bon meilleures je suis satisfait,service client,positif,Très positif,Aucune,0.0151,0.9698,0.0151
page_BNI,Mousharaf Tronga Sy Savané,2025-07-31,vous avez change ma gestionnaire sans meme m informer,gestionnaire,negatif,Très négatif,Très critique,0.9685,0.0105,0.021
page_BNI,Mousharaf Tronga Sy Savané,2025-07-24,vous n allez plus avoir bni trop prelevements noirs sur nos comptes et ca fait que nous avons peur de vos produits,frais,negatif,Très négatif,Très critique,0.9763,0.0122,0.0115
page_BNI,Fofana Youssouf,2025-07-31,je veux connecter mon compte sur l application et on me dit que mon compte n existe pas,application,negatif,Très négatif,Très critique,0.9589,0.0122,0.0289
page_BNI,Victoire Zamblé Lou,2025-07-24,et le virement,virement,neutre,Neutre,Aucune,0.0673,0.012,0.9207
page_BNI,Suy Bi Eric Olivier,2025-07-24,gestionnaire,gestionnaire,neutre,Très négatif,Très critique,0.9768,0.011,0.0122
page_BNI,Damoclès Protection,2025-07-17,ces offres sont elles justes pour les clients bni ou ouvertes au public,service client,positif,Neutre,Aucune,0.0116,0.1899,0.7984
page_BNI,Majesté Empereur Kondo Ier,2025-07-17,combien de temps met la bni pour encaisser un cheque rachat j ai depose un cheque rachat a l agence bni abengouou depuis le lundi 14 juillet 2025,retrait,neutre,Neutre,Aucune,0.0721,0.0212,0.9066
page_BNI,Majesté Empereur Kondo Ier,2025-07-17,combien de temps met la bni pour encaisser un cheque rachat j ai depose un cheque rachat a l agence bni abengouou depuis le lundi 14 juillet 2025,agence,neutre,Neutre,Aucune,0.0721,0.0212,0.9066
page_BNI,Guerizov Dacé,2025-07-24,la liste des pieces a fournir pour le pret scolaire svp,prêt,neutre,Neutre,Aucune,0.0093,0.0174,0.9733
page_BNI,Geoffroy Kouassi,2025-07-24,et le taux du pret ordinaire,prêt,neutre,Neutre,Aucune,0.0167,0.0166,0.9666
page_BNI,Sooleyman Toure,2025-07-24,quelle est la duree de remboursement du pret scolaire,prêt,neutre,Neutre,Aucune,0.0093,0.0216,0.9691
page_BNI,Oumar Sana,2025-07-17,je veux pret scolaire,prêt,positif,Positif,Aucune,0.0092,0.7033,0.2875
page_BNI,Shakur Bams,2025-07-24,pret scolaire 1 000 000 de francs es ce possible,prêt,positif,Très positif,Aucune,0.0153,0.97,0.0146
page_BNI,Patrick Lebo,2025-07-24,le pret scolaire m interesse,prêt,positif,Très positif,Aucune,0.0125,0.9692,0.0183
page_BNI,Mate Ariko Abdias,2025-07-17,depuis mon ouverture de compte j essaie de m enregistrer sur l application mobile mais helas,application,neutre,Neutre,Aucune,0.015,0.0278,0.9572
page_BNI,Harnaud Konan,2025-07-17,appele votre centre de relation client mais c est peine perdu je me suis deplace en agence toujours pas de solution je me demande finalement ca sert a quoi de creer un service si on peut pas resoudre les problemes qui subviennent,service client,negatif,Très négatif,Très critique,0.9753,0.0105,0.0142
page_BNI,Harnaud Konan,2025-07-17,appele votre centre de relation client mais c est peine perdu je me suis deplace en agence toujours pas de solution je me demande finalement ca sert a quoi de creer un service si on peut pas resoudre les problemes qui subviennent,agence,negatif,Très négatif,Très critique,0.9753,0.0105,0.0142
page_BNI,Amadou Kone,2025-07-17,revoyez vos accueils dans les agences aupres de votre personnel tres desagreable,agence,negatif,Très négatif,Très critique,1.0,0.0,0.0
page_BNI,Yao Kouassi Wilfried,2025-07-17,le mois est deja fini inh faite chap on doit effectuer les transactions labas,virement,neutre,Neutre,Aucune,0.0086,0.0439,0.9476
page_BNI,Odi Pierre Ekra,2025-07-24,on sent que vous voulez obliger vos clients a lier leur compte aux services mobile money et autres,service client,positif,Très positif,Aucune,0.0169,0.9685,0.0146
page_BNI,Odi Pierre Ekra,2025-07-24,on sent que vous voulez obliger vos clients a lier leur compte aux services mobile money et autres,application,positif,Très positif,Aucune,0.0169,0.9685,0.0146
page_BNI,Sedeuh Le Raelien Gbah,2025-07-24,comment vous pouvez prelever 33000f de frais de decouvert dont on n a pas demande la mise en place pourquoi vous faites ca,frais,negatif,Très négatif,Très critique,0.9683,0.0201,0.0116
page_BNI,Michael Marvin,2025-07-17,cette application est une anarque mm,application,neutre,Neutre,Aucune,0.0083,0.0177,0.974
page_BNI,Hermann Sadia,2025-07-17,vous devez revoir les dossiers a fournir pour le pret scolaire c est parfois trop sachant que le client est domicilie deja chez vous,service client,negatif,Très négatif,Très critique,0.9352,0.015,0.0498
page_BNI,Hermann Sadia,2025-07-17,vous devez revoir les dossiers a fournir pour le pret scolaire c est parfois trop sachant que le client est domicilie deja chez vous,prêt,negatif,Très négatif,Très critique,0.9352,0.015,0.0498
page_BNI,Dah Diomande Valerie,2025-07-17,bni pardon aller ouvrir une agence a bouna eh les fonctionnaires souffre trop,agence,negatif,Très négatif,Très critique,1.0,0.0,0.0
page_BNI,Josué Coulibaly,2025-07-10,moi j accuse dix 10 ans de chomage apres mes premiers pas a l agence bouake commerce,agence,negatif,Très négatif,Très critique,0.9719,0.0094,0.0186
page_BNI,Amadou Kone,2025-07-10,votre banque vraiment revoyez vos collaborateurs dans les agences pas du tout accueillants,agence,negatif,Très négatif,Très critique,1.0,0.0,0.0
page_BNI,Yacouba Sidibé,2025-07-10,a quand le lancement des prets scolaires,prêt,positif,Neutre,Aucune,0.0061,0.0425,0.9514
page_BNI,Adama Doumbia,2025-07-10,on veut une agence dans le n zi,agence,positif,Très positif,Aucune,0.0091,0.9119,0.079
page_BNI,N'cho Adolphe Biby,2025-07-10,merci beaucoup pour ce resultat mais nous clients de la region de l agneby,service client,positif,Très positif,Aucune,0.0143,0.9706,0.015
page_BNI,N'cho Adolphe Biby,2025-07-10,nous vous attendons toujours pour l installation d une agence de votre structure bancaire nous en avons extremement besoin merci de tenir compte de notre doleance,agence,positif,Très positif,Aucune,0.0143,0.9706,0.015
page_BNI,Maître Guede,2025-07-10,on reclame au moins un guichet automatique a bouafle a defaut d une agence,guichet,negatif,Neutre,Aucune,0.1562,0.0135,0.8303
page_BNI,Maître Guede,2025-07-10,on reclame au moins un guichet automatique a bouafle a defaut d une agence,agence,negatif,Neutre,Aucune,0.1562,0.0135,0.8303
page_BNI,Kobenan Paul Zola Gboko,2025-07-03,a vous les infatigables responsables de la bni,guichet,positif,Très positif,Aucune,0.0156,0.9697,0.0147
page_BNI,Godis Limit Ake,2025-07-03,bonjour la bni je ne suis pas content de vous franche j ai depose un courrier de reverssement de mon contrat d assurance yako africa depuis le mois de mars et juste que la on retrouve pas le courrier alors j ai besoin de ce argent franchement je viens de faire les obseques de ma grande mere et celui de mon grand frere ce week end j ai compte dessus pour faire le mois juillet mais malheureusement aucune trace rien tu appelles c est maintenant on cherche mon dossier c est malheureux franchement,assurance,negatif,Très négatif,Très critique,0.9756,0.0112,0.0132
page_BNI,Abou Torna Coulibaly,2025-07-03,votre guichet a issia,guichet,neutre,Très négatif,Très critique,1.0,0.0,0.0
page_BNI,Honorine Anita Assohou,2025-07-03,on veut une agence a guiglo,agence,neutre,Très positif,Aucune,0.0113,0.9625,0.0263
page_BNI,Souleymane Sanogo,2025-07-03,faites vous allez lancer les prets scolaires sans interet c est ca qui nous arrange hoooo,prêt,negatif,Très négatif,Très critique,0.9502,0.0387,0.0112
page_BNI,Abdoulaye Traore,2025-07-03,on veut une agence a oume,agence,neutre,Positif,Aucune,0.0096,0.7552,0.2352
page_BNI,Romsy Coeur Blanc,2025-07-03,a present aucun virement n est pas fait a la bni pour les travailleurs prives precisement palmci,virement,negatif,Neutre,Aucune,0.0193,0.0125,0.9682
page_BNI,Guillaume Vaho,2025-07-03,belle agence j ai vu la semaine derniere au passage tres bientot j y ferai un retrait pourvu que les billets soient nouveaux comme l agence elle meme,retrait,positif,Très positif,Aucune,0.0129,0.9679,0.0192
page_BNI,Guillaume Vaho,2025-07-03,belle agence j ai vu la semaine derniere au passage tres bientot j y ferai un retrait pourvu que les billets soient nouveaux comme l agence elle meme,agence,positif,Très positif,Aucune,0.0129,0.9679,0.0192
page_BNI,Jean Charles Nindjin,2025-06-26,toutes mes felicitations mais doleance nous avons besoin d une agence a,agence,positif,Très positif,Aucune,0.015,0.9706,0.0144
page_BNI,Sielo Coulibaly,2025-06-26,felicitations a la bni et merci aux autorites locales qui ont oeuvre pour la mise en place de cette agence,agence,positif,Très positif,Aucune,0.0155,0.9699,0.0145
page_BNI,Didier Yra,2025-06-26,ouvrez une agence bni a guiglo ou duekoue,agence,positif,Légèrement positif,Aucune,0.0071,0.5004,0.4924
page_BNI,Arsene Ehoussou,2025-07-03,felicitations a vous mais votre gab a issia,guichet,positif,Très positif,Aucune,0.016,0.97,0.014
page_BNI,Constant Jaurès Gbaloa,2025-07-03,trop de fonctionnaires dans la region du n zi mais un simple guichet il n y a en pas,guichet,negatif,Très négatif,Très critique,0.9724,0.0089,0.0187
page_BNI,Dzeubien Ayèla le Pitchitchi,2025-06-26,cela fait plus de 3ans que je vous ecris pour vous dire qu adzope a besoin de vous le guichet automatique nous fatigue ooooooh bni,guichet,negatif,Très négatif,Très critique,0.9762,0.0114,0.0124
page_BNI,Tahe Armel Gnonhiohoue,2025-06-26,ou on a du mal a joindre notre gestionnaire pour prendre des informations minimum,gestionnaire,negatif,Très négatif,Très critique,0.9734,0.0107,0.0159
page_BNI,Soro Kassoum,2025-06-26,revoyez vos gestionnaire,gestionnaire,neutre,Très négatif,Très critique,1.0,0.0,0.0
page_BNI,Global'ys Afrique,2025-07-03,tres belle opportunite,prêt,positif,Très positif,Aucune,0.0144,0.969,0.0166
page_BNI,Regisseur Gahoum,2025-07-03,un client malade qui n a plus de recours qui a son compte pec doit mourir vraiment pensez a ce probleme car le social fait parti des misdions de la banque,service client,negatif,Très négatif,Très critique,0.9766,0.0104,0.013
page_BNI,Ferdinand Zivo,2025-06-26,pourquoi mon gestionnaire ne decroche pas mes appels,gestionnaire,negatif,Très négatif,Très critique,0.9738,0.0104,0.0158
